label,message
ham,"Hey, how are you?"
spam,"Congratulations! You've won a free iPhone! Click here."
ham,"Let's catch up for coffee tomorrow."
spam,"Win a brand new car! Call now to claim your prize."
ham,"Meeting at 3 PM. Don't be late!"
spam,"Exclusive deal! Get 50% off. Limited time offer!"
ham,"Are we still going for dinner tonight?"
spam,"URGENT! Your bank account has been compromised. Verify now."
ham,"See you at the gym later?"
spam,"Claim your lottery winnings now! Limited time offer."
ham,"Check out this cool new restaurant downtown."
spam,"Click here to win an instant cash prize!"
ham,"See you at the game later!"
spam,"Your social media account has been compromised! Reset your password now."
ham,"Letâ€™s meet for coffee in the afternoon."
spam,"Win big with our casino bonus! Play now."
ham,"Your order has been shipped! Track it here."
spam,"Exclusive access! Get free samples of our new product."
